"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+2.12812500000E+009, -1.62241023310E+000, +0.00000000000E+000
+2.14000000000E+009, -1.62807420377E+000, +0.00000000000E+000
+2.15187500000E+009, -1.62527147938E+000, +0.00000000000E+000
+2.16375000000E+009, -1.59471193614E+000, +0.00000000000E+000
+2.17562500000E+009, -1.57376831121E+000, +0.00000000000E+000
+2.18750000000E+009, -1.55503395064E+000, +0.00000000000E+000
+2.19937500000E+009, -1.53336306170E+000, +0.00000000000E+000
+2.21125000000E+009, -1.53309013924E+000, +0.00000000000E+000
+2.22312500000E+009, -1.51324851736E+000, +0.00000000000E+000
+2.23500000000E+009, -1.50039575572E+000, +0.00000000000E+000
+2.24687500000E+009, -1.52047084630E+000, +0.00000000000E+000
+2.25875000000E+009, -1.50486862661E+000, +0.00000000000E+000
+2.27062500000E+009, -1.51207634711E+000, +0.00000000000E+000
+2.28250000000E+009, -1.49997290505E+000, +0.00000000000E+000
+2.29437500000E+009, -1.50363661155E+000, +0.00000000000E+000
+2.30625000000E+009, -1.50256290189E+000, +0.00000000000E+000
+2.31812500000E+009, -1.48639313133E+000, +0.00000000000E+000
+2.33000000000E+009, -1.47827770539E+000, +0.00000000000E+000
+2.34187500000E+009, -1.46937440094E+000, +0.00000000000E+000
+2.35375000000E+009, -1.47260031394E+000, +0.00000000000E+000
+2.36562500000E+009, -1.46547519250E+000, +0.00000000000E+000
+2.37750000000E+009, -1.47561740973E+000, +0.00000000000E+000
+2.38937500000E+009, -1.47431240167E+000, +0.00000000000E+000
+2.40125000000E+009, -1.49711361991E+000, +0.00000000000E+000
+2.41312500000E+009, -1.46865260231E+000, +0.00000000000E+000
+2.42500000000E+009, -1.48546916148E+000, +0.00000000000E+000
+2.43687500000E+009, -1.46917318097E+000, +0.00000000000E+000
+2.44875000000E+009, -1.47875012504E+000, +0.00000000000E+000
+2.46062500000E+009, -1.46041034761E+000, +0.00000000000E+000
+2.47250000000E+009, -1.46552873766E+000, +0.00000000000E+000
+2.48437500000E+009, -1.44077652860E+000, +0.00000000000E+000
+2.49625000000E+009, -1.44256474686E+000, +0.00000000000E+000
+2.50812500000E+009, -1.42056496056E+000, +0.00000000000E+000
+2.52000000000E+009, -1.41202198914E+000, +0.00000000000E+000
+2.53187500000E+009, -1.41158806625E+000, +0.00000000000E+000
+2.54375000000E+009, -1.40313998901E+000, +0.00000000000E+000
+2.55562500000E+009, -1.39983360675E+000, +0.00000000000E+000
+2.56750000000E+009, -1.40817904252E+000, +0.00000000000E+000
+2.57937500000E+009, -1.38538639078E+000, +0.00000000000E+000
+2.59125000000E+009, -1.37044724759E+000, +0.00000000000E+000
+2.60312500000E+009, -1.37716920870E+000, +0.00000000000E+000
+2.61500000000E+009, -1.35806664910E+000, +0.00000000000E+000
+2.62687500000E+009, -1.36422637386E+000, +0.00000000000E+000
+2.63875000000E+009, -1.34725977022E+000, +0.00000000000E+000
+2.65062500000E+009, -1.34221353184E+000, +0.00000000000E+000
+2.66250000000E+009, -1.33314091746E+000, +0.00000000000E+000
+2.67437500000E+009, -1.32996894211E+000, +0.00000000000E+000
+2.68625000000E+009, -1.31071178717E+000, +0.00000000000E+000
+2.69812500000E+009, -1.31490388583E+000, +0.00000000000E+000
+2.71000000000E+009, -1.29131941573E+000, +0.00000000000E+000
+2.72187500000E+009, -1.30134147882E+000, +0.00000000000E+000
+2.73375000000E+009, -1.29606914539E+000, +0.00000000000E+000
+2.74562500000E+009, -1.29523480690E+000, +0.00000000000E+000
+2.75750000000E+009, -1.30216076575E+000, +0.00000000000E+000
+2.76937500000E+009, -1.31037474836E+000, +0.00000000000E+000
+2.78125000000E+009, -1.32059039474E+000, +0.00000000000E+000
+2.79312500000E+009, -1.32059593662E+000, +0.00000000000E+000
+2.80500000000E+009, -1.32492500706E+000, +0.00000000000E+000
+2.81687500000E+009, -1.31415655541E+000, +0.00000000000E+000
+2.82875000000E+009, -1.32445904823E+000, +0.00000000000E+000
+2.84062500000E+009, -1.34034446204E+000, +0.00000000000E+000
+2.85250000000E+009, -1.31568136355E+000, +0.00000000000E+000
+2.86437500000E+009, -1.32032194065E+000, +0.00000000000E+000
+2.87625000000E+009, -1.31547104631E+000, +0.00000000000E+000
+2.88812500000E+009, -1.30502271076E+000, +0.00000000000E+000
+2.90000000000E+009, -1.28958144149E+000, +0.00000000000E+000
+2.91187500000E+009, -1.28633962490E+000, +0.00000000000E+000
+2.92375000000E+009, -1.28100174046E+000, +0.00000000000E+000
+2.93562500000E+009, -1.28505828026E+000, +0.00000000000E+000
+2.94750000000E+009, -1.26430637829E+000, +0.00000000000E+000
+2.95937500000E+009, -1.26309313773E+000, +0.00000000000E+000
+2.97125000000E+009, -1.25214677805E+000, +0.00000000000E+000
+2.98312500000E+009, -1.23474111924E+000, +0.00000000000E+000
+2.99500000000E+009, -1.22275639879E+000, +0.00000000000E+000
+3.00687500000E+009, -1.21355025314E+000, +0.00000000000E+000
+3.01875000000E+009, -1.20688018858E+000, +0.00000000000E+000
+3.03062500000E+009, -1.19298631441E+000, +0.00000000000E+000
+3.04250000000E+009, -1.17122266257E+000, +0.00000000000E+000
+3.05437500000E+009, -1.16805264106E+000, +0.00000000000E+000
+3.06625000000E+009, -1.17436298007E+000, +0.00000000000E+000
+3.07812500000E+009, -1.16737853138E+000, +0.00000000000E+000
+3.09000000000E+009, -1.17156308231E+000, +0.00000000000E+000
+3.10187500000E+009, -1.19246757954E+000, +0.00000000000E+000
+3.11375000000E+009, -1.18262325678E+000, +0.00000000000E+000
+3.12562500000E+009, -1.18310790426E+000, +0.00000000000E+000
+3.13750000000E+009, -1.21706467382E+000, +0.00000000000E+000
+3.14937500000E+009, -1.21474422583E+000, +0.00000000000E+000
+3.16125000000E+009, -1.21512563062E+000, +0.00000000000E+000
+3.17312500000E+009, -1.22319516774E+000, +0.00000000000E+000
+3.18500000000E+009, -1.21514476254E+000, +0.00000000000E+000
+3.19687500000E+009, -1.21790597215E+000, +0.00000000000E+000
+3.20875000000E+009, -1.20959240655E+000, +0.00000000000E+000
+3.22062500000E+009, -1.20368931654E+000, +0.00000000000E+000
+3.23250000000E+009, -1.19904031422E+000, +0.00000000000E+000
+3.24437500000E+009, -1.19966919014E+000, +0.00000000000E+000
+3.25625000000E+009, -1.20223705603E+000, +0.00000000000E+000
+3.26812500000E+009, -1.20373537872E+000, +0.00000000000E+000
+3.28000000000E+009, -1.22395113200E+000, +0.00000000000E+000
+3.29187500000E+009, -1.21204308167E+000, +0.00000000000E+000
+3.30375000000E+009, -1.22924595924E+000, +0.00000000000E+000
+3.31562500000E+009, -1.21064421826E+000, +0.00000000000E+000
+3.32750000000E+009, -1.19884249295E+000, +0.00000000000E+000
+3.33937500000E+009, -1.19504079607E+000, +0.00000000000E+000
+3.35125000000E+009, -1.17403610916E+000, +0.00000000000E+000
+3.36312500000E+009, -1.16330383424E+000, +0.00000000000E+000
+3.37500000000E+009, -1.15156704401E+000, +0.00000000000E+000
+3.38687500000E+009, -1.14634680982E+000, +0.00000000000E+000
+3.39875000000E+009, -1.13240790898E+000, +0.00000000000E+000
+3.41062500000E+009, -1.13621067115E+000, +0.00000000000E+000
+3.42250000000E+009, -1.14198187161E+000, +0.00000000000E+000
+3.43437500000E+009, -1.13684367148E+000, +0.00000000000E+000
+3.44625000000E+009, -1.13817924775E+000, +0.00000000000E+000
